X_Value	laser_0	laser_1	laser_2	Untitled	Untitled 1	Untitled 2
84.600000	-0.209337	1.153485	0.274864	0.000361	-0.007614	5.217742E-5
84.610000	-0.231588	1.116004	0.227898	0.000418	-0.007559	0.000266
84.620000	-0.217179	1.159048	0.297298	0.000708	-0.007923	0.000981
84.630000	-0.221466	1.117098	0.297298	0.000486	-0.007984	0.001172
84.640000	-0.211434	1.038032	0.300763	0.000692	-0.008144	0.001200
84.650000	-0.180428	1.034749	0.273040	0.000409	-0.008018	0.002008
84.660000	-0.243717	0.993346	0.289455	0.000269	-0.007675	0.001609
84.670000	-0.185717	0.944192	0.331222	0.000313	-0.007270	0.001449
84.680000	-0.178877	0.855459	0.290732	8.158900E-5	-0.006355	0.001625
84.690000	-0.201311	0.759613	0.234008	0.000401	-0.005488	0.000349
84.700000	-0.195840	0.696780	0.265106	0.000281	-0.004068	0.000286
84.710000	-0.224657	0.553877	0.250515	0.000553	-0.002844	-0.000251
84.720000	-0.193560	0.420823	0.255075	0.000624	-0.001429	-0.001103
84.730000	-0.226299	0.283392	0.229996	0.000622	0.000177	-0.000836
84.740000	-0.195293	0.125169	0.260090	0.000692	0.001817	-0.001402
84.750000	-0.191827	0.021662	0.241760	0.000367	0.003865	-0.000955
84.760000	-0.229855	-0.105646	0.233826	0.000441	0.005234	-0.000265
84.770000	-0.201403	-0.194196	0.262644	0.000179	0.006646	-0.000103
84.780000	-0.217635	-0.356432	0.273952	0.000259	0.007823	0.000302
84.790000	-0.222833	-0.493499	0.272310	0.000352	0.008940	0.000969
84.800000	-0.211525	-0.592901	0.290276	0.000317	0.009966	0.001099
84.810000	-0.228032	-0.713097	0.314443	0.000667	0.010603	0.001187
84.820000	-0.187450	-0.798182	0.292465	0.000525	0.010908	0.001697
84.830000	-0.200855	-0.915732	0.300490	0.000690	0.010900	0.001425
84.840000	-0.207969	-0.944732	0.316996	0.000631	0.010713	0.001258
84.850000	-0.190915	-1.035836	0.317270	0.000410	0.010618	0.001729
84.860000	-0.218000	-1.161321	0.241031	0.000527	0.010026	0.000678
84.870000	-0.200035	-1.219594	0.291826	9.131358E-5	0.009771	0.000918
84.880000	-0.184805	-1.303494	0.247688	0.000350	0.008890	0.000934
84.890000	-0.218912	-1.355019	0.265471	0.000316	0.008383	-0.000706
84.900000	-0.198484	-1.410283	0.275229	0.000370	0.008020	-5.169292E-5
84.910000	-0.221557	-1.460896	0.245590	0.000723	0.007224	-0.000547
84.920000	-0.202771	-1.492176	0.279150	0.000529	0.007234	-0.001609
84.930000	-0.234689	-1.574070	0.272402	0.000875	0.006784	-0.000211
84.940000	-0.216723	-1.540783	0.291644	0.000473	0.006821	-0.000500
84.950000	-0.232500	-1.557563	0.292100	0.000526	0.006490	-0.000267
84.960000	-0.226755	-1.586381	0.274499	0.000450	0.006593	0.000663
84.970000	-0.197481	-1.532941	0.324200	9.045456E-5	0.007103	0.000920
84.980000	-0.228123	-1.573249	0.304593	0.000469	0.006940	0.001339
84.990000	-0.185899	-1.539963	0.299304	0.000168	0.007325	0.001427
85.000000	-0.197572	-1.485975	0.323836	0.000522	0.007028	0.001805
85.010000	-0.229308	-1.460076	0.284622	0.000532	0.007029	0.001474
85.020000	-0.192648	-1.365233	0.338244	0.000558	0.007016	0.000823
85.030000	-0.228579	-1.330031	0.320188	0.000649	0.006946	0.001257
85.040000	-0.215447	-1.231906	0.309974	0.000444	0.006421	0.000815
85.050000	-0.203135	-1.119644	0.276141	0.000691	0.005284	8.539638E-5
85.060000	-0.222013	-1.062921	0.249147	0.000428	0.004419	0.000161
85.070000	-0.204868	-0.922663	0.278785	0.000360	0.003506	-0.000216
