X_Value	laser_0	laser_1	laser_2	Untitled	Untitled 1	Untitled 2
1.780000	-0.010935	-0.019808	-0.014113	-0.000641	0.000115	0.000393
1.790000	0.002744	-0.021449	-0.008094	-0.000537	0.000580	-0.000311
1.800000	0.004842	-0.048260	-0.020406	0.000422	0.000323	0.000300
1.810000	-0.001724	-0.028745	0.013884	0.001094	0.000265	0.000594
1.820000	-0.018687	-0.047896	-0.012745	0.001714	-0.000101	0.000978
1.830000	0.012411	-0.046072	0.019538	0.001772	-0.000168	0.001145
1.840000	-0.024341	-0.017072	0.009233	0.001073	0.000179	0.000692
1.850000	-0.027442	-0.036496	0.020176	0.000483	0.000226	0.000157
1.860000	-0.004825	-0.026738	0.072340	-0.000467	0.000514	8.743007E-5
1.870000	-0.022517	-0.055282	-0.003900	-0.000769	0.000340	3.871204E-5
1.880000	0.004842	0.005818	0.003852	-0.000757	0.000488	-0.000374
1.890000	-0.001724	-0.025826	-0.022686	-0.000321	0.000418	-0.000178
1.900000	-0.018322	-0.048625	-0.008368	0.000495	0.000289	0.000965
1.910000	-0.021423	0.013661	0.009141	0.000848	0.000548	0.000271
1.920000	0.016241	-0.051817	0.006406	0.001441	0.000282	0.001114
1.930000	0.002744	-0.006584	0.013336	0.001413	0.000241	0.000264
1.940000	0.014964	-0.038320	-0.045758	0.001199	-0.000233	0.000380
1.950000	-0.040482	-0.023547	-0.042657	0.000869	-0.000318	0.000910
1.960000	0.014964	-0.009229	-0.006727	3.589862E-5	0.000119	8.464635E-5
1.970000	-0.016954	-0.054644	-0.028978	-0.000122	0.000518	0.001251
1.980000	-0.018322	-0.021540	0.000204	-0.000419	0.000788	-0.001069
1.990000	0.015785	-0.040782	0.022365	-7.024018E-5	0.000649	0.000552
2.000000	-0.031910	-0.029292	0.008959	0.000436	0.000638	-0.000163
2.010000	0.014508	-0.021540	0.006497	0.000784	0.000243	0.000506
2.020000	-0.010023	-0.055921	-0.031349	0.001237	1.636871E-6	0.001456
2.030000	0.009766	0.000347	0.057475	0.000905	-1.779506E-5	-0.000142
2.040000	-0.009932	-0.035949	0.002484	0.000934	1.839425E-5	0.001088
2.050000	-0.033643	-0.027377	0.038689	0.000439	0.000356	-0.000585
2.060000	0.020983	-0.002025	-0.004811	8.623118E-5	0.000348	0.000739
2.070000	-0.023885	-0.069600	-0.010557	-9.569524E-5	0.000465	5.150693E-5
2.080000	0.016241	-0.045525	-0.018947	-0.000416	0.000699	0.000173
2.090000	8.207560E-6	0.006730	0.014522	4.154330E-5	0.000634	0.000373
2.100000	0.016697	0.011928	-0.069469	0.000177	0.000492	-0.000338
2.110000	0.018156	0.060809	-0.000161	0.000805	0.000149	0.000677
2.120000	-0.027989	-0.003210	-0.056701	0.001191	-0.000198	0.000312
2.130000	0.007942	0.031900	-0.040286	0.001177	-0.000542	0.000768
2.140000	0.014508	0.015211	-0.038280	0.001105	-0.000154	0.001317
2.150000	0.007486	0.022142	-0.021591	0.000485	0.000444	-1.322573E-5
2.160000	0.021895	0.028708	0.020267	0.000118	0.000721	0.000474
2.170000	-0.022061	0.002170	-0.016667	-0.000341	0.001056	-0.000585
2.180000	-0.015313	0.037919	0.000934	-0.000410	0.000588	-0.000235
2.190000	0.009219	0.023054	0.004399	-0.000134	0.000413	0.000628
2.200000	-0.019964	-0.000748	-0.011104	7.371384E-5	4.453007E-5	0.000334
2.210000	0.009219	0.028708	-0.012745	0.000822	-5.046421E-5	0.001415
2.220000	-0.017045	-0.025826	-0.008003	0.000936	1.442051E-6	-0.000710
2.230000	-0.013124	0.022142	-0.020771	0.001192	-8.276531E-5	0.001360
