X_Value	laser_0	laser_1	laser_2	Untitled	Untitled 1	Untitled 2
44.980000	0.010698	6.969297	0.266871	-0.028519	-0.027927	0.046488
44.990000	0.027204	6.819920	0.298880	-0.012789	-0.019349	0.060442
45.000000	0.059670	6.662882	0.287481	-0.010568	-0.008293	0.051402
45.010000	0.073988	6.410089	0.218446	-0.010136	-0.002043	0.027027
45.020000	0.078821	6.137598	0.128892	-0.007536	-0.001604	0.027837
45.030000	0.086116	5.991686	-0.001243	-0.000586	-0.003001	0.029928
45.040000	0.057846	5.652075	-0.177432	0.003130	-0.006481	0.024490
45.050000	0.059670	5.313832	-0.318693	0.002378	-0.006718	-0.000794
45.060000	0.054289	4.933640	-0.452841	0.004248	-0.003035	-0.039506
45.070000	0.067421	4.506209	-0.510659	0.002170	-0.001595	-0.058805
45.080000	0.044714	4.123645	-0.509656	-0.011648	-0.006295	-0.040493
45.090000	-0.035173	3.642317	-0.483300	-0.063054	-0.011954	-0.031671
45.100000	-0.141963	3.220996	-0.449376	-0.023664	-0.017702	-0.030886
45.110000	-0.217107	2.649385	-0.426668	0.005687	-0.014706	-0.027573
45.120000	-0.290428	2.134680	-0.324803	-0.024063	-0.002054	-0.073688
45.130000	-0.356818	1.566169	-0.003249	0.053766	-0.000604	-0.082392
45.140000	-0.482941	0.910476	0.454185	0.029031	-0.003492	-0.020408
45.150000	-0.519601	0.264177	0.689560	-0.004790	-0.001075	-0.010990
45.160000	-0.570580	-0.422887	0.955576	0.028067	0.002749	0.042312
45.170000	-0.604504	-1.074385	1.210102	0.046403	0.015061	0.089108
45.180000	-0.604231	-1.776861	1.479674	0.020431	0.027879	0.038657
45.190000	-0.658674	-2.492834	1.586190	0.001507	0.030114	0.064689
45.200000	-0.599397	-3.145517	1.656319	0.002009	0.036479	0.115582
45.210000	-0.632866	-3.800937	1.528008	-0.004150	0.041193	0.113863
45.220000	-0.648278	-4.476875	1.303850	-0.001594	0.044057	0.119347
45.230000	-0.618183	-4.994133	0.990504	-0.004788	0.058223	0.066974
45.240000	-0.586721	-5.580792	0.741268	0.015252	0.065986	-0.024275
45.250000	-0.529724	-6.041509	0.506805	0.061389	0.070376	-0.043370
45.260000	-0.361196	-6.568799	0.211880	0.023414	0.070091	-0.028361
45.270000	-0.284409	-6.928473	-0.050488	0.009498	0.063743	-0.068257
45.280000	-0.186010	-7.248021	-0.250023	-0.016765	0.062635	-0.028287
45.290000	-0.137038	-7.549968	-0.339759	0.036941	0.067914	-0.060984
45.300000	0.014619	-7.637424	-0.353712	-0.002853	0.068328	-0.073872
45.310000	0.051645	-7.770842	-0.325624	-0.062944	0.065156	-0.048509
45.320000	0.148859	-7.887754	-0.238806	-0.000934	0.055286	-0.030382
45.330000	0.273249	-7.873801	-0.262517	-0.014688	0.043795	0.040929
45.340000	0.305076	-7.844619	-0.267533	-0.040456	0.046426	0.018208
45.350000	0.346114	-7.777317	-0.244187	-0.017445	0.044508	-0.006617
